1;aniseed;1,20,14,30,8,6
2;apparel;9,28,7,29,18
3;anoint;9,20,24,20,32
4;arbitrate;3,29,4,9,32,29,2,32
5;anthologize;1,20,33,3,18,9,16,15,42
6;argufying;3,29,11,9,10,15,14,21
7;antilabor;1,20,32,15,18,1,4,9,29
8;arid;1,29,14,6
9;anymore;7,20,8,19,23,29
10;around;9,29,27,20,6
11;bannock;4,1,20,9,17
12;being;4,8,14,21
13;baptize;4,,1,28,32,15,42
14;bib;4,14,4
15;bark;4,3,29,17
16;bidden;4,14,6,45
17;basal;4,2,30,9,18
18;bigeneric;4,15,16,9,20,7,29,14,17
19;behind;4,8,12,15,20,6
20;bimanually;4,15,19,1,20,41,9,18,8
21;blade;4,18,2,6
22;blaspheme;4,18,1,30,10,9,19,8
23;blue;4,18,25
24;bodily;4,3,6,9,18,8
25;braveness;4,29,2,37,20,14,30
26;cockle;17,3,17,9,18
27;coddle;17,3,6,44
28;coexist;17,22,14,11,43,14,30,32
29;credential;17,29,14,6,7,20,31,9,18
30;crescendo;17,29,14,31,7,20,6,22
31;crequis;17,29,22,17,8
32;crossexamine;17,29,23,30,14,11,42,1,19,14,20
33;crowed;17,29,22,14,6
34;cuprous;17,41,28,29,9,30
35;currishly;17,36,29,14,31,18,8
36;dab;6,1,4
37;dadoed;6,2,6,22,14,6
38;daff;6,1,10
39;dear;6,14,29
40;decently;6,8,30,9,20,32,18,8
41;epoch;7,28,9,17
42;equalize;8,17,38,9,18,15,42
43;eradicate;8,29,1,6,14,17,2,32
44;erroneous;8,29,22,20,8,9,30
45;erstwhile;39,29,30,32,13,15,18
46;ermine;36,29,19,14,20
47;eroticize;7,29,9,32,9,30,15,42
48;escalate;7,30,17,9,18,2,32
49;esemplastic;7,30,9,19,28,18,1,30,32,14,17
50;eventually;8,37,7,20,5,26,9,18,8
51;fallacy;10,1,18,9,30,8
52;fantasize;10,1,20,32,9,30,15,43
53;fart;10,3,29,32
54;fervent;10,36,29,37,9,20,32
55;fifteenth;10,14,10,32,7,7,20,33
56;filum;10,14,18,9,19
57;finagle;10,9,20,2,11,9,18
58;financier;10,14,20,9,20,30,14,29
59;finnicky;10,14,20,14,17,8
60;fondly;10,3,20,6,18,8
61;garotte;11,9,29,3,32
62;gear;11,14,29
63;generalize;16,7,20,9,29,9,18,15,42
64;geocorona;16,8,22,17,9,29,22,20,1
65;geologizing;16,8,3,18,9,16,15,42,14,21
66;gibe;16,15,4
67;glabrate;11,18,2,4,29,2,32
68;granularly;11,29,1,20,9,18,9,29,18,8
69;guacharo;11,38,2,5,9,29,22
70;guard;11,3,29,6
71;guess;11,7,30
72;guileful;11,15,18,10,9,18
73;gulpingly;11,35,18,28,14,21,18,8
74;hacendado;12,3,30,7,20,6,3,6,22
75;hamstrung;12,1,19,30,32,29,35,20
76;happen;12,1,28,9,20
77;hircine;12,36,29,30,15,20
78;homeward;12,22,19,38,9,29,6
79;heliosphere;12,8,18,8,22,30,10,14,29
80;hipped;12,14,28,14,6
81;hondle;12,3,20,6,9,18
82;honorable;3,20,9,29,9,4,9,18
83;humbly;12,35,19,4,18,8
84;ichthyosaur;14,17,33,8,22,30,23,29
85;idolize;15,6,44,15,42
86;ignitable;14,11,20,15,32,14,4,9,18
87;ilk;14,18,17
88;illadvisedly;14,18,9,6,37,15,42,14,6,18,8
89;image;14,19,14,11
